experiment,condition,trial,order,status,valid,target_ms,iterations,reference_a_ms,a_event_ms,a_effective_gflops,b_event_ms,invalidate_delay_ms,a_pending_before_destroy,destroy_result,cpu_a,cpu_b,cpu_control,t_A_launch_ns,t_A_launch_return_ns,t_A_start_observed_ns,A_start_gpu_ns,t_invalidate_ns,t_invalidate_seen_ns,t_A_query_begin_ns,t_A_query_end_ns,t_destroy_begin_ns,t_destroy_return_ns,t_B_ready_ns,t_B_trigger_seen_ns,t_B_launch_ns,t_B_launch_return_ns,t_B_complete_ns,invalidate_dispatch_us,destroy_latency_us,invalidate_to_destroy_return_us,handoff_us,b_launch_api_us,b_request_us,b_takeover_us,B_start_gpu_ns,B_end_gpu_ns,t_B_start_est_ns,t_B_start_lower_ns,t_B_start_upper_ns,clock_bracket_ns,clock_offset_change_ns,start_est_valid
calibration,a_only,0,0,ok,1,10,1857,9.9727363586425781,9.9727363586425781,nan,nan,nan,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0
standby,a_only,0,0,ok,1,10,1857,9.9727363586425781,9.9727363586425781,10543.65625908436,nan,nan,-1,-1,0,-1,-1,4237916391013063,4237916391015964,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0
standby,a_with_idle_b,0,1,ok,1,10,1857,9.9727363586425781,9.9727363586425781,10543.65625908436,nan,nan,-1,-1,0,-1,-1,4237916615609522,4237916615613028,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0
standby,a_with_idle_b,1,0,ok,1,10,1857,9.9727363586425781,9.9727363586425781,10543.65625908436,nan,nan,-1,-1,0,-1,-1,4237916642244792,4237916642247547,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0
standby,a_only,1,1,ok,1,10,1857,9.9727363586425781,9.9727363586425781,10543.65625908436,nan,nan,-1,-1,0,-1,-1,4237916788096677,4237916788099511,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0
standby,a_only,2,0,ok,1,10,1857,9.9727363586425781,9.9727363586425781,10543.65625908436,nan,nan,-1,-1,0,-1,-1,4237916814752225,4237916814755127,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0
standby,a_with_idle_b,2,1,ok,1,10,1857,9.9727363586425781,9.9727363586425781,10543.65625908436,nan,nan,-1,-1,0,-1,-1,4237917023646178,4237917023649667,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0
standby,a_with_idle_b,3,0,ok,1,10,1857,9.9727363586425781,9.9727363586425781,10543.65625908436,nan,nan,-1,-1,0,-1,-1,4237917050304930,4237917050307834,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0
standby,a_only,3,1,ok,1,10,1857,9.9727363586425781,9.9727363586425781,10543.65625908436,nan,nan,-1,-1,0,-1,-1,4237917191524640,4237917191529239,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0
standby,a_only,4,0,ok,1,10,1857,9.9727363586425781,9.9727363586425781,10543.65625908436,nan,nan,-1,-1,0,-1,-1,4237917218191206,4237917218195617,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0
standby,a_with_idle_b,4,1,ok,1,10,1857,9.9727363586425781,9.9727363586425781,10543.65625908436,nan,nan,-1,-1,0,-1,-1,4237917424706098,4237917424710742,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0
standby,a_with_idle_b,5,0,ok,1,10,1857,9.9727363586425781,9.9727363586425781,10543.65625908436,nan,nan,-1,-1,0,-1,-1,4237917451385134,4237917451388475,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0
standby,a_only,5,1,ok,1,10,1857,9.9727363586425781,9.4187517166137695,11163.804641174173,nan,nan,-1,-1,0,-1,-1,4237917593983520,4237917593986800,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0
standby,a_only,6,0,ok,1,10,1857,9.9727363586425781,9.4187517166137695,11163.804641174173,nan,nan,-1,-1,0,-1,-1,4237917619184303,4237917619187964,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0
standby,a_with_idle_b,6,1,ok,1,10,1857,9.9727363586425781,9.973759651184082,10542.574496019335,nan,nan,-1,-1,0,-1,-1,4237917831917508,4237917831923142,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0
standby,a_with_idle_b,7,0,ok,1,10,1857,9.9727363586425781,9.9727363586425781,10543.65625908436,nan,nan,-1,-1,0,-1,-1,4237917858664633,4237917858668182,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0
standby,a_only,7,1,ok,1,10,1857,9.9727363586425781,9.9727363586425781,10543.65625908436,nan,nan,-1,-1,0,-1,-1,4237917999829338,4237917999832816,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0
standby,a_only,8,0,ok,1,10,1857,9.9727363586425781,9.9727363586425781,10543.65625908436,nan,nan,-1,-1,0,-1,-1,4237918026528015,4237918026532125,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0
standby,a_with_idle_b,8,1,ok,1,10,1857,9.9727363586425781,9.9727363586425781,10543.65625908436,nan,nan,-1,-1,0,-1,-1,4237918234832800,4237918234836930,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0
standby,a_with_idle_b,9,0,ok,1,10,1857,9.9727363586425781,9.9727363586425781,10543.65625908436,nan,nan,-1,-1,0,-1,-1,4237918261533311,4237918261537148,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0
standby,a_only,9,1,ok,1,10,1857,9.9727363586425781,9.9717121124267578,10544.739252646803,nan,nan,-1,-1,0,-1,-1,4237918402040430,4237918402044588,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0
takeover,b_with_idle_a,0,0,ok,1,10,1857,9.9727363586425781,nan,nan,0.0092160003259778023,nan,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,4237918609812383,4237918609817202,4237918610095560,nan,nan,nan,nan,4.819,283.17700000000002,nan,1790059294729723904,1790059294729723904,nan,nan,nan,nan,nan,0
takeover,destroy,0,0,ok,1,10,1857,9.9727363586425781,nan,nan,0.011264000087976456,1,1,0,0,1,2,4237918610431199,4237918610435536,4237918610710752,1790059294730342400,4237918611711063,4237918611711963,4237918611712203,4237918611713768,4237918611715718,4237918755618694,4237918610415968,4237918755619992,4237918755623379,4237918755627755,4237918755790662,0.90000000000000002,143902.976,143907.63099999999,4.6849999999999996,4.3760000000000003,167.28299999999999,144079.59899999999,1790059294875416576,1790059294875416576,4237918755779867,4237918755769265,4237918755790469,18441,2859.5,1
