experiment,condition,trial,order,status,valid,target_ms,iterations,reference_a_ms,a_event_ms,a_effective_gflops,b_event_ms,invalidate_delay_ms,a_pending_before_destroy,destroy_result,cpu_a,cpu_b,cpu_control,t_A_launch_ns,t_A_launch_return_ns,t_A_start_observed_ns,A_start_gpu_ns,t_invalidate_ns,t_invalidate_seen_ns,t_A_query_begin_ns,t_A_query_end_ns,t_destroy_begin_ns,t_destroy_return_ns,t_B_ready_ns,t_B_trigger_seen_ns,t_B_launch_ns,t_B_launch_return_ns,t_B_complete_ns,invalidate_dispatch_us,destroy_latency_us,invalidate_to_destroy_return_us,handoff_us,b_launch_api_us,b_request_us,b_takeover_us,B_start_gpu_ns,B_end_gpu_ns,t_B_start_est_ns,t_B_start_lower_ns,t_B_start_upper_ns,clock_bracket_ns,clock_offset_change_ns,start_est_valid
calibration,a_only,0,0,ok,1,10,1857,9.9727363586425781,9.9727363586425781,nan,nan,nan,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0
takeover,b_with_idle_a,0,0,ok,1,10,1857,9.9727363586425781,nan,nan,0.0092160003259778023,nan,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,4238069405792755,4238069405798410,4238069406075902,nan,nan,nan,nan,5.6550000000000002,283.14699999999999,nan,1790059445522747392,1790059445522747392,nan,nan,nan,nan,nan,0
takeover,destroy,0,0,ok,1,10,1857,9.9727363586425781,nan,nan,0.010239999741315842,1,1,0,0,1,2,4238069406333315,4238069406335561,4238069406612265,1790059445523287040,4238069407612398,4238069407612640,4238069407612681,4238069407613487,4238069407614198,4238069524013308,4238069406329965,4238069524013959,4238069524016357,4238069524019988,4238069524176040,0.24199999999999999,116399.11,116400.91,3.0489999999999999,3.6309999999999998,159.68299999999999,116563.64200000001,1790059445640845312,1790059445640845312,4238069524165520.5,4238069524156089,4238069524174952,16931,2302,1
takeover,b_with_idle_a,0,1,ok,1,10,1857,9.9727363586425781,nan,nan,0.0092160003259778023,nan,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,4238069691174211,4238069691184797,4238069691394109,nan,nan,nan,nan,10.586,219.898,nan,1790059445808059392,1790059445808060416,nan,nan,nan,nan,nan,0
takeover,wait-then-destroy,0,1,ok,1,10,1857,9.9727363586425781,nan,nan,0.010239999741315842,1,1,0,0,1,2,4238069691726780,4238069691730238,4238069691939085,1790059445808609280,4238069692939389,4238069692939679,4238069692939717,4238069692940617,4238069699318519,4238069792331649,4238069691718748,4238069792332121,4238069792334248,4238069792337136,4238069792482063,0.28999999999999998,93013.130000000005,99392.259999999995,2.5990000000000002,2.8879999999999999,147.815,99542.673999999999,1790059445909146624,1790059445909146624,4238069792472886,4238069792463998,4238069792481774,15973,2286,1
takeover,b_with_idle_a,1,0,ok,1,10,1857,9.9727363586425781,nan,nan,0.0092160003259778023,nan,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,4238069948152771,4238069948161458,4238069948372886,nan,nan,nan,nan,8.6869999999999994,220.11500000000001,nan,1790059446065034240,1790059446065034240,nan,nan,nan,nan,nan,0
takeover,wait-then-destroy,1,0,ok,1,10,1857,9.9727363586425781,nan,nan,0.010239999741315842,1,1,0,0,1,2,4238069948649829,4238069948653177,4238069948862454,1790059446065527808,4238069949862758,4238069949863189,4238069949863315,4238069949864180,4238069956241142,4238070049195392,4238069948639432,4238070049195898,4238070049200951,4238070049204180,4238070049346135,0.43099999999999999,92954.25,99332.634000000005,5.5590000000000002,3.2290000000000001,145.184,99483.376999999993,1790059446166005760,1790059446166005760,4238070049336859,4238070049328574,4238070049345144,15046,1840.5,1
takeover,b_with_idle_a,1,1,ok,1,10,1857,9.9727363586425781,nan,nan,0.0081919999793171883,nan,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,4238070204066319,4238070204106548,4238070204284549,nan,nan,nan,nan,40.228999999999999,218.22999999999999,nan,1790059446320940032,1790059446320940032,nan,nan,nan,nan,nan,0
takeover,destroy,1,1,ok,1,10,1857,9.9727363586425781,nan,nan,0.0092160003259778023,1,1,0,0,1,2,4238070204620902,4238070204624119,4238070204828770,1790059446321488896,4238070205829032,4238070205829516,4238070205829606,4238070205830443,4238070205831027,4238070305931854,4238070204599869,4238070305933011,4238070305936106,4238070305941194,4238070306082047,0.48399999999999999,100100.827,100102.822,4.2519999999999998,5.0880000000000001,145.941,100253.015,1790059446422735872,1790059446422735872,4238070306072091.5,4238070306063981,4238070306080202,15127,1554,1
takeover,b_with_idle_a,2,0,ok,1,10,1857,9.9727363586425781,nan,nan,0.0081919999793171883,nan,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,4238070461252251,4238070461259897,4238070461468305,nan,nan,nan,nan,7.6459999999999999,216.054,nan,1790059446578120704,1790059446578120704,nan,nan,nan,nan,nan,0
