experiment,condition,trial,order,status,valid,target_ms,iterations,reference_a_ms,a_event_ms,a_effective_gflops,b_event_ms,invalidate_delay_ms,a_pending_before_destroy,destroy_result,cpu_a,cpu_b,cpu_control,t_A_launch_ns,t_A_launch_return_ns,t_A_start_observed_ns,A_start_gpu_ns,t_invalidate_ns,t_invalidate_seen_ns,t_A_query_begin_ns,t_A_query_end_ns,t_destroy_begin_ns,t_destroy_return_ns,t_B_ready_ns,t_B_trigger_seen_ns,t_B_launch_ns,t_B_launch_return_ns,t_B_complete_ns,invalidate_dispatch_us,destroy_latency_us,invalidate_to_destroy_return_us,handoff_us,b_launch_api_us,b_request_us,b_takeover_us,B_start_gpu_ns,B_end_gpu_ns,t_B_start_est_ns,t_B_start_lower_ns,t_B_start_upper_ns,clock_bracket_ns,clock_offset_change_ns,start_est_valid,invalidate_to_b_launch_us,invalidate_to_b_gpu_start_est_us,invalidate_to_b_gpu_start_lower_us,invalidate_to_b_gpu_start_upper_us,a_pending_after_invalidate,a_event_pending_after_b_complete,a_context_alive_after_b_complete,t_A_post_B_query_begin_ns,t_A_post_B_query_end_ns,t_A_complete_observed_ns,a_launch_seq,b_launch_seq
calibration,a_only,0,0,ok,1,10,1857,9.9727363586425781,9.9727363586425781,nan,nan,nan,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,-1,-1,-1,0,0,0,0,0
calibration,a_with_idle_b,0,0,ok,1,10,1857,9.9727363586425781,9.9727363586425781,nan,nan,nan,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,-1,-1,-1,0,0,0,0,0
live-handoff,live-handoff,0,0,ok,1,10,1857,9.9758081436157227,10.658816337585449,9864.9888315665939,0.010239999741315842,0.99758081436157231,1,-1,0,1,2,4241559369801113,4241559369804157,4241559370086632,1790062935421812736,4241559371084416,4241559371084990,4241559371085021,4241559371086183,0,0,4241559369792057,4241559371084936,4241559371087677,4241559371090757,4241559372532052,0.57399999999999995,nan,nan,nan,3.0800000000000001,1444.375,1447.636,1790062935424253952,1790062935424253952,4241559372522313,4241559372512774,4241559372531852,19078,107.5,1,3.2610000000000001,1437.8969999999999,1428.3579999999999,1447.4359999999999,1,1,1,4241559372532434,4241559372532734,4241559380740924,19,11
live-handoff,serial-destroy,0,1,ok,1,10,1857,9.9758081436157227,nan,nan,0.011264000087976456,0.99758081436157231,1,0,0,1,2,4241559408917974,4241559408921063,4241559409204144,1790062935460929536,4241559410201963,4241559410202495,4241559410202703,4241559410203023,4241559410204306,4241559546611424,4241559408914435,4241559546612320,4241559546615947,4241559546622505,4241559546776267,0.53200000000000003,136407.11799999999,136409.46100000001,4.5229999999999997,6.5579999999999998,160.31999999999999,136574.304,1790062935598495744,1790062935598495744,4241559546765210.5,4241559546754350,4241559546776071,20215,2866.5,1,136413.984,136563.2475,136552.38699999999,136574.10800000001,1,-1,0,0,0,0,24,26
live-handoff,idle,0,2,ok,1,10,1857,7.9493122100830078,nan,nan,0.0071680000983178616,0,0,-1,0,1,2,0,0,0,0,4241559742652169,4241559742652590,4241559742652687,4241559742654043,0,0,4241559742642784,4241559742652732,4241559742655671,4241559742658350,4241559742671626,0.42099999999999999,nan,nan,nan,2.6789999999999998,15.955,19.457000000000001,1790062935794387968,1790062935794388992,4241559742663358.5,4241559742655671,4241559742671046,16137,-88,1,3.5019999999999998,11.189500000000001,3.5019999999999998,18.876999999999999,0,0,1,4241559742671984,4241559742672334,0,0,41
calibration,a_with_idle_b,1,0,ok,1,10,2330,9.9696636199951172,9.9696636199951172,nan,nan,nan,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,-1,-1,-1,0,0,0,0,0
live-handoff,serial-destroy,1,0,ok,1,10,2330,9.9706878662109375,nan,nan,0.010239999741315842,0.99706878662109377,1,0,0,1,2,4241559782741536,4241559782744626,4241559782968870,1790062935834688512,4241559783966076,4241559783966653,4241559783966675,4241559783967126,4241559783968570,4241559896478054,4241559782738188,4241559896479230,4241559896482869,4241559896486290,4241559896642214,0.57699999999999996,112509.484,112511.978,4.8150000000000004,3.4209999999999998,159.345,112676.13800000001,1790062935948354560,1790062935948354560,4241559896631004,4241559896620769,4241559896641239,18512,2464.5,1,112516.79300000001,112664.928,112654.693,112675.163,1,-1,0,0,0,0,40,56
live-handoff,idle,1,1,ok,1,10,2330,8.7429122924804688,nan,nan,0.0071680000983178616,0,0,-1,0,1,2,0,0,0,0,4241560075913938,4241560075914480,4241560075914577,4241560075915862,0,0,4241560075905005,4241560075914336,4241560075917177,4241560075920589,4241560075932747,0.54200000000000004,nan,nan,nan,3.4119999999999999,15.57,18.809000000000001,1790062936127643648,1790062936127643648,4241560075925011.5,4241560075917287,4241560075932736,15425,-172,1,3.2389999999999999,11.073499999999999,3.3490000000000002,18.797999999999998,0,0,1,4241560075933130,4241560075933502,0,0,71
live-handoff,live-handoff,1,2,ok,1,10,2330,8.7429122924804688,9.2477436065673828,14266.38085276361,0.0071680000983178616,0.87429122924804692,1,-1,0,1,2,4241560097349703,4241560097352782,4241560097550258,1790062936149264384,4241560098424726,4241560098425384,4241560098425585,4241560098425968,0,0,4241560097344563,4241560098425486,4241560098428001,4241560098431351,4241560099889846,0.65800000000000003,nan,nan,nan,3.3500000000000001,1461.845,1465.1199999999999,1790062936151600128,1790062936151600128,4241560099881947.5,4241560099874369,4241560099889526,15055,-258.5,1,3.2749999999999999,1457.2215000000001,1449.643,1464.8,1,1,1,4241560099890241,4241560099890553,4241560106794389,49,86
calibration,a_with_idle_b,2,0,ok,1,10,2662,10.011648178100586,10.011648178100586,nan,nan,nan,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,-1,-1,-1,0,0,0,0,0
live-handoff,idle,2,0,ok,1,10,2662,9.9880962371826172,nan,nan,0.010239999741315842,0,0,-1,0,1,2,0,0,0,0,4241560149049895,4241560149050255,4241560149050342,4241560149051345,0,0,4241560149037015,4241560149050515,4241560149054255,4241560149059657,4241560149073288,0.35999999999999999,nan,nan,nan,5.4020000000000001,19.033000000000001,23.393000000000001,1790062936200780800,1790062936200780800,4241560149064112.5,4241560149055230,4241560149072995,17624,-170,1,4.3600000000000003,14.217499999999999,5.335,23.100000000000001,0,0,1,4241560149073671,4241560149074060,0,0,101
live-handoff,live-handoff,2,1,ok,1,10,2662,9.9870719909667969,10.494976043701172,14362.176933073124,0.0071680000983178616,0.99870719909667971,1,-1,0,1,2,4241560171819606,4241560171824021,4241560172020454,1790062936223732736,4241560173019388,4241560173019941,4241560173019970,4241560173020346,0,0,4241560171816269,4241560173019908,4241560173024205,4241560173029892,4241560174360105,0.55300000000000005,nan,nan,nan,5.6870000000000003,1335.9000000000001,1340.7170000000001,1790062936226068480,1790062936226068480,4241560174351351,4241560174342597,4241560174360105,18303,618.5,1,4.8170000000000002,1331.963,1323.2090000000001,1340.7170000000001,1,1,1,4241560174360767,4241560174361223,4241560182512634,66,116
live-handoff,serial-destroy,2,2,ok,1,10,2662,9.9870719909667969,nan,nan,0.0092160003259778023,0.99870719909667971,1,0,0,1,2,4241560206577681,4241560206582450,4241560206777693,1790062936258489344,4241560207776663,4241560207777056,4241560207777084,4241560207777743,4241560207778734,4241560314856176,4241560206573426,4241560314858486,4241560314862330,4241560314869304,4241560315004377,0.39300000000000002,107077.442,107079.51300000001,6.1539999999999999,6.9740000000000002,142.047,107227.71400000001,1790062936366709760,1790062936366709760,4241560314993669,4241560314984266,4241560315003072,17589,1966.5,1,107085.667,107217.00599999999,107207.603,107226.409,1,-1,0,0,0,0,71,131
calibration,a_with_idle_b,3,0,ok,1,10,3423,9.9799041748046875,9.9799041748046875,nan,nan,nan,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,-1,-1,-1,0,0,0,0,0
live-handoff,live-handoff,3,0,ok,1,10,3423,9.9706878662109375,10.375167846679688,18681.228858772392,0.0061440002173185349,0.99706878662109377,1,-1,0,1,2,4241560493805823,4241560493810788,4241560493963252,1790062936545670144,4241560494960562,4241560494961159,4241560494961361,4241560494962497,0,0,4241560493800027,4241560494961262,4241560494963947,4241560494967626,4241560496257936,0.59699999999999998,nan,nan,nan,3.6789999999999998,1293.989,1297.374,1790062936547961856,1790062936547961856,4241560496250839,4241560496243988,4241560496257690,13702,-116.5,1,3.3849999999999998,1290.277,1283.4259999999999,1297.1279999999999,1,1,1,4241560496258273,4241560496258607,4241560504335517,84,146
live-handoff,serial-destroy,3,1,ok,1,10,3423,9.9727363586425781,nan,nan,0.0081919999793171883,0.99727363586425788,1,0,0,1,2,4241560524476493,4241560524479496,4241560524634425,1790062936576340992,4241560525631948,4241560525632331,4241560525632351,4241560525632708,4241560525633925,4241560617080455,4241560524473728,4241560617081785,4241560617085665,4241560617090639,4241560617199013,0.38300000000000001,91446.529999999999,91448.506999999998,5.21,4.9740000000000002,113.348,91567.065000000002,1790062936668900352,1790062936668900352,4241560617190235,4241560617181457,4241560617199013,17155,1989,1,91453.717000000004,91558.286999999997,91549.509000000005,91567.065000000002,1,-1,0,0,0,0,89,161
live-handoff,idle,3,2,ok,1,10,3423,9.9717121124267578,nan,nan,0.011264000087976456,0,0,-1,0,1,2,0,0,0,0,4241560776908046,4241560776908587,4241560776908676,4241560776910079,0,0,4241560776899941,4241560776908501,4241560776912806,4241560776918392,4241560776931476,0.54100000000000004,nan,nan,nan,5.5860000000000003,18.670000000000002,23.43,1790062936828626944,1790062936828626944,4241560776921311,4241560776912806,4241560776929816,17212,273,1,4.7599999999999998,13.265000000000001,4.7599999999999998,21.77,0,0,1,4241560776931880,4241560776932272,0,0,176
calibration,a_with_idle_b,4,0,ok,1,10,3428,9.9840002059936523,9.9840002059936523,nan,nan,nan,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,-1,-1,-1,0,0,0,0,0
live-handoff,serial-destroy,4,0,ok,1,10,3428,9.9860477447509766,nan,nan,0.0081919999793171883,0.99860477447509766,1,0,0,1,2,4241560813990620,4241560813995030,4241560814147868,1790062936865849344,4241560815146714,4241560815147105,4241560815147126,4241560815147593,4241560815148772,4241560906568322,4241560813986363,4241560906569647,4241560906573456,4241560906577762,4241560906685376,0.39100000000000001,91419.550000000003,91421.607999999993,5.1340000000000003,4.306,111.92,91538.661999999997,1790062936958381056,1790062936958381056,4241560906676627,4241560906667958,4241560906685296,16981,1667.5,1,91426.741999999998,91529.913,91521.244000000006,91538.581999999995,1,-1,0,0,0,0,106,191
live-handoff,idle,4,1,ok,1,10,3428,9.9870719909667969,nan,nan,0.010239999741315842,0,0,-1,0,1,2,0,0,0,0,4241561065466007,4241561065466552,4241561065466649,4241561065467911,0,0,4241561065460581,4241561065466492,4241561065470524,4241561065476304,4241561065488061,0.54500000000000004,nan,nan,nan,5.7800000000000002,17.536999999999999,22.053999999999998,1790062937117179904,1790062937117179904,4241561065479848,4241561065471635,4241561065488061,17452,-1794.5,1,4.5170000000000003,13.840999999999999,5.6280000000000001,22.053999999999998,0,0,1,4241561065488476,4241561065488868,0,0,206
live-handoff,live-handoff,4,2,ok,1,10,3428,9.9860477447509766,10.386431694030762,18688.227702258369,0.0071680000983178616,0.99860477447509766,1,-1,0,1,2,4241561085525640,4241561085528960,4241561085680075,1790062937137376256,4241561086678955,4241561086679705,4241561086679932,4241561086680403,0,0,4241561085522680,4241561086679686,4241561086684018,4241561086689947,4241561087974547,0.75,nan,nan,nan,5.9290000000000003,1290.529,1295.5920000000001,1790062937139666944,1790062937139666944,4241561087966573,4241561087958599,4241561087974547,17477,160.5,1,5.0629999999999997,1287.6179999999999,1279.644,1295.5920000000001,1,1,1,4241561087974946,4241561087975327,4241561096064071,115,221
calibration,a_with_idle_b,5,0,ok,1,10,3428,9.9850244522094727,9.9850244522094727,nan,nan,nan,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,-1,-1,-1,0,0,0,0,0
live-handoff,idle,5,0,ok,1,10,3428,9.9870719909667969,nan,nan,0.01228800043463707,0,0,-1,0,1,2,0,0,0,0,4241561133250397,4241561133251039,4241561133251129,4241561133251473,0,0,4241561133248552,4241561133250848,4241561133255312,4241561133262623,4241561133275200,0.64200000000000002,nan,nan,nan,7.3109999999999999,19.888000000000002,24.803000000000001,1790062937184964608,1790062937184964608,4241561133265534.5,4241561133256921,4241561133274148,17063,175.5,1,4.915,15.137499999999999,6.524,23.751000000000001,0,0,1,4241561133275600,4241561133275998,0,0,236
