experiment,condition,trial,order,status,valid,target_ms,iterations,reference_a_ms,a_event_ms,a_effective_gflops,b_event_ms,invalidate_delay_ms,a_pending_before_destroy,destroy_result,cpu_a,cpu_b,cpu_control,t_A_launch_ns,t_A_launch_return_ns,t_A_start_observed_ns,A_start_gpu_ns,t_invalidate_ns,t_invalidate_seen_ns,t_A_query_begin_ns,t_A_query_end_ns,t_destroy_begin_ns,t_destroy_return_ns,t_B_ready_ns,t_B_trigger_seen_ns,t_B_launch_ns,t_B_launch_return_ns,t_B_complete_ns,invalidate_dispatch_us,destroy_latency_us,invalidate_to_destroy_return_us,handoff_us,b_launch_api_us,b_request_us,b_takeover_us,B_start_gpu_ns,B_end_gpu_ns,t_B_start_est_ns,t_B_start_lower_ns,t_B_start_upper_ns,clock_bracket_ns,clock_offset_change_ns,start_est_valid,invalidate_to_b_launch_us,invalidate_to_b_gpu_start_est_us,invalidate_to_b_gpu_start_lower_us,invalidate_to_b_gpu_start_upper_us,a_pending_after_invalidate,a_event_pending_after_b_complete,a_context_alive_after_b_complete,t_A_post_B_query_begin_ns,t_A_post_B_query_end_ns,t_A_complete_observed_ns,a_launch_seq,b_launch_seq
calibration,a_only,0,0,ok,1,10,1854,9.9615364074707031,9.9615364074707031,nan,nan,nan,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,-1,-1,-1,0,0,0,0,0
calibration,a_with_idle_b,0,0,ok,1,10,1854,9.9614076614379883,9.9614076614379883,nan,nan,nan,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,-1,-1,-1,0,0,0,0,0
live-handoff,live-handoff,0,0,ok,1,10,1854,9.963871955871582,10.643168449401855,9863.5322098937395,0.015104000456631184,0.99638719558715827,1,-1,0,1,2,4241787914353301,4241787914356330,4241787914641821,1790063163961723584,4241787915638476,4241787915638767,4241787915638891,4241787915640370,0,0,4241787914346829,4241787915638680,4241787915641945,4241787915645698,4241787917079873,0.29099999999999998,nan,nan,nan,3.7530000000000001,1437.9280000000001,1441.3969999999999,1790063163964157984,1790063163964158112,4241787917069360.5,4241787917058848,4241787917079873,21142,443.5,1,3.4689999999999999,1430.8844999999999,1420.3720000000001,1441.3969999999999,1,1,1,4241787917080061,4241787917080744,4241787925274831,19,11
live-handoff,serial-destroy,0,1,ok,1,10,1854,9.9639358520507812,nan,nan,0.016607999801635742,0.99639358520507815,1,0,0,1,2,4241787953551683,4241787953554799,4241787953841143,1790063164000922176,4241787954837745,4241787954838105,4241787954838126,4241787954838883,4241787954839823,4241788083323678,4241787953545901,4241788083324211,4241788083329820,4241788083337019,4241788083493835,0.35999999999999999,128483.855,128485.933,6.1420000000000003,7.1989999999999998,164.01499999999999,128656.09,1790063164130568608,1790063164130568736,4241788083481840.5,4241788083470420,4241788083493261,21511,3386,1,128492.075,128644.0955,128632.675,128655.516,1,-1,0,0,0,0,24,26
live-handoff,idle,0,2,ok,1,10,1854,8.0666561126708984,nan,nan,0.011264000087976456,0,0,-1,0,1,2,0,0,0,0,4241788275815830,4241788275816113,4241788275816252,4241788275819601,0,0,4241788275807428,4241788275816040,4241788275819306,4241788275823610,4241788275837340,0.28299999999999997,nan,nan,nan,4.3040000000000003,18.033999999999999,21.510000000000002,1790063164322909856,1790063164322909888,4241788275828366,4241788275819392,4241788275837340,17990,-251.5,1,3.476,12.536,3.5619999999999998,21.510000000000002,0,0,1,4241788275837526,4241788275839642,0,0,41
calibration,a_with_idle_b,1,0,ok,1,10,2289,9.9534082412719727,9.9534082412719727,nan,nan,nan,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,-1,-1,-1,0,0,0,0,0
live-handoff,serial-destroy,1,0,ok,1,10,2289,9.9557123184204102,nan,nan,0.015296000055968761,0.9955712318420411,1,0,0,1,2,4241788316376479,4241788316379527,4241788316608224,1790063164363683072,4241788317604043,4241788317604424,4241788317604527,4241788317605285,4241788317606008,4241788425898901,4241788316371274,4241788425899391,4241788425904543,4241788425909253,4241788426066701,0.38100000000000001,108292.893,108294.85799999999,5.6420000000000003,4.71,162.15799999999999,108462.658,1790063164473135264,1790063164473135360,4241788426055960,4241788426045489,4241788426066431,19493,1594.5,1,108300.5,108451.917,108441.446,108462.38800000001,1,-1,0,0,0,0,40,56
live-handoff,idle,1,1,ok,1,10,2289,9.8000316619873047,nan,nan,0.011392000131309032,0,0,-1,0,1,2,0,0,0,0,4241788615172216,4241788615172505,4241788615172549,4241788615175716,0,0,4241788615164564,4241788615172524,4241788615176755,4241788615180322,4241788615194585,0.28899999999999998,nan,nan,nan,3.5670000000000002,17.829999999999998,22.369,1790063164662260416,1790063164662260480,4241788615185670,4241788615176755,4241788615194585,18010,1071.5,1,4.5389999999999997,13.454000000000001,4.5389999999999997,22.369,0,0,1,4241788615194786,4241788615196942,0,0,71
live-handoff,live-handoff,1,2,ok,1,10,2289,9.800288200378418,10.363679885864258,12506.203055613911,0.01104000024497509,0.98002882003784186,1,-1,0,1,2,4241788639412274,4241788639415324,4241788639642084,1790063164686710784,4241788640622316,4241788640622664,4241788640622698,4241788640623532,0,0,4241788639405772,4241788640622555,4241788640626461,4241788640629993,4241788642011240,0.34799999999999998,nan,nan,nan,3.532,1384.779,1388.924,1790063164689076128,1790063164689076256,4241788642001962,4241788641992684,4241788642011240,18181,777.5,1,4.1449999999999996,1379.646,1370.3679999999999,1388.924,1,1,1,4241788642011506,4241788642012179,4241788649997510,49,86
calibration,a_only,0,0,ok,1,100,23249,98.183235168457031,98.183235168457031,nan,nan,nan,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,-1,-1,-1,0,0,0,0,0
