key,value
"schema_version","2"
"run_status","initializing"
"toolkit_version","12.8.61"
"cuda_header_version","12080"
"cubin_sm","80"
"module_path","/home/quyifei/multimodal/workspace/multi-context/build/kernels.cubin"
"host_timer","CLOCK_MONOTONIC_RAW"
"host_timer_resolution_ns","1"
"run_start_host_ns","4241786734865144"
"process_pid","3674842"
"thread_control_tid","3674842"
"run_start_utc","2026-09-22T07:46:23Z"
"host_os","Linux 5.15.0-186-generic x86_64"
"nvidia_kernel_driver","NVRM version: NVIDIA UNIX x86_64 Kernel Module  595.58.03  Tue Mar 17 19:54:55 UTC 2026
GCC version:  gcc version 11.4.0 (Ubuntu 11.4.0-1ubuntu1~22.04.3) 
"
"argv_0","/home/quyifei/multimodal/workspace/multi-context/./build/context_ping_pong"
"argv_1","--mode"
"argv_2","live-handoff"
"argv_3","--long-ms"
"argv_4","10,100,1000"
"argv_5","--trials"
"argv_6","2"
"argv_7","--cpu-a"
"argv_8","0"
"argv_9","--cpu-b"
"argv_10","1"
"argv_11","--cpu-control"
"argv_12","2"
"argv_13","--output"
"argv_14","results/live_handoff_calibrated_profiled.csv"
"CUDA_VISIBLE_DEVICES","<unset>"
"CUDA_LAUNCH_BLOCKING","<unset>"
"CUDA_MODULE_LOADING","<unset>"
"CUDA_MPS_PIPE_DIRECTORY","<unset>"
"CUDA_MPS_ACTIVE_THREAD_PERCENTAGE","<unset>"
"mps_active","not_determined_by_this_program; verify independently"
"nvidia_smi_exit_status","0"
"cuda_driver_api_version","13020"
"cuda_driver_api_version_display","13.2"
"visible_device_count","8"
"gpu_name","NVIDIA A100-PCIE-40GB"
"gpu_uuid","99e4e85f-1945-866c-9e00-130b51df7908"
"gpu_pci_bus_id","0000:18:00.0"
"gpu_total_memory_bytes","42405855232"
"selected_visible_ordinal","0"
"gpu_compute_capability","8.0"
"gpu_sm_count","108"
"gpu_compute_mode","0"
"gpu_compute_preemption_supported","1"
"gpu_kernel_exec_timeout","0"
"context_flags","CU_CTX_SCHED_SPIN | CU_CTX_MAP_HOST"
"stream_flags","CU_STREAM_NON_BLOCKING"
"a_blocks","432"
"a_threads","256"
"fma_per_thread_per_iteration","256"
"cpu_a_requested","0"
"cpu_b_requested","1"
"cpu_control_requested","2"
"thread_a_tid","3674867"
"thread_b_tid","3674868"
"thread_a_launch_count","152"
"thread_b_launch_count","279"
"run_status","completed"
