file,target_ms,condition,metric,n,invalid_trials,min,median,p95
results/live_handoff_calibrated.csv,10,live-handoff,invalidate_to_b_launch_us,10,0,2.726,3.417,5.189
results/live_handoff_calibrated.csv,10,live-handoff,invalidate_to_b_gpu_start_est_us,10,0,1280.268,1286.4025,1457.2215
results/live_handoff_calibrated.csv,10,live-handoff,b_takeover_us,10,0,1287.872,1294.5145,1465.12
results/live_handoff_calibrated.csv,10,live-handoff,a_event_pending_after_b_complete,10,0,1.0,1.0,1.0
results/live_handoff_calibrated.csv,10,live-handoff,a_event_ms,10,0,9.247743606567383,10.382847785949707,10.65881633758545
results/live_handoff_calibrated.csv,10,live-handoff,destroy_latency_us,0,0,NA,NA,NA
results/live_handoff_calibrated.csv,10,serial-destroy,invalidate_to_b_launch_us,10,0,78500.104,91359.477,136413.984
results/live_handoff_calibrated.csv,10,serial-destroy,invalidate_to_b_gpu_start_est_us,10,0,78600.809,91463.315,136563.2475
results/live_handoff_calibrated.csv,10,serial-destroy,b_takeover_us,10,0,78608.133,91472.14749999999,136574.304
results/live_handoff_calibrated.csv,10,serial-destroy,a_event_pending_after_b_complete,0,0,NA,NA,NA
results/live_handoff_calibrated.csv,10,serial-destroy,a_event_ms,0,0,NA,NA,NA
results/live_handoff_calibrated.csv,10,serial-destroy,destroy_latency_us,10,0,78495.682,91352.5025,136407.118
results/live_handoff_calibrated.csv,10,idle,invalidate_to_b_launch_us,10,0,3.239,4.0520000000000005,10.653
results/live_handoff_calibrated.csv,10,idle,invalidate_to_b_gpu_start_est_us,10,0,11.0735,12.365,17.001
results/live_handoff_calibrated.csv,10,idle,b_takeover_us,10,0,18.391,20.755499999999998,24.803
results/live_handoff_calibrated.csv,10,idle,a_event_pending_after_b_complete,10,0,0.0,0.0,0.0
results/live_handoff_calibrated.csv,10,idle,a_event_ms,0,0,NA,NA,NA
results/live_handoff_calibrated.csv,10,idle,destroy_latency_us,0,0,NA,NA,NA
results/live_handoff_calibrated.csv,100,live-handoff,invalidate_to_b_launch_us,10,0,1.859,2.305,4.528
results/live_handoff_calibrated.csv,100,live-handoff,invalidate_to_b_gpu_start_est_us,10,0,689.7735,696.3107500000001,698.869
results/live_handoff_calibrated.csv,100,live-handoff,b_takeover_us,10,0,697.286,703.7755,705.869
results/live_handoff_calibrated.csv,100,live-handoff,a_event_pending_after_b_complete,10,0,1.0,1.0,1.0
results/live_handoff_calibrated.csv,100,live-handoff,a_event_ms,10,0,100.1707534790039,100.19071960449219,100.47180938720703
results/live_handoff_calibrated.csv,100,live-handoff,destroy_latency_us,0,0,NA,NA,NA
results/live_handoff_calibrated.csv,100,serial-destroy,invalidate_to_b_launch_us,10,0,159453.279,162342.5295,185517.066
results/live_handoff_calibrated.csv,100,serial-destroy,invalidate_to_b_gpu_start_est_us,10,0,159556.1135,162442.20025,185616.7945
results/live_handoff_calibrated.csv,100,serial-destroy,b_takeover_us,10,0,159564.138,162450.9565,185627.194
results/live_handoff_calibrated.csv,100,serial-destroy,a_event_pending_after_b_complete,0,0,NA,NA,NA
results/live_handoff_calibrated.csv,100,serial-destroy,a_event_ms,0,0,NA,NA,NA
results/live_handoff_calibrated.csv,100,serial-destroy,destroy_latency_us,10,0,159449.275,162337.839,185488.025
results/live_handoff_calibrated.csv,100,idle,invalidate_to_b_launch_us,10,0,1.596,3.5425,33.715
results/live_handoff_calibrated.csv,100,idle,invalidate_to_b_gpu_start_est_us,10,0,7.8815,11.291,41.545
results/live_handoff_calibrated.csv,100,idle,b_takeover_us,10,0,13.85,19.002499999999998,49.411
results/live_handoff_calibrated.csv,100,idle,a_event_pending_after_b_complete,10,0,0.0,0.0,0.0
results/live_handoff_calibrated.csv,100,idle,a_event_ms,0,0,NA,NA,NA
results/live_handoff_calibrated.csv,100,idle,destroy_latency_us,0,0,NA,NA,NA
results/live_handoff_calibrated.csv,1000,live-handoff,invalidate_to_b_launch_us,10,0,1.867,1.9659999999999997,2.357
results/live_handoff_calibrated.csv,1000,live-handoff,invalidate_to_b_gpu_start_est_us,0,0,NA,NA,NA
results/live_handoff_calibrated.csv,1000,live-handoff,b_takeover_us,10,0,1087.557,1123.4025,1125.428
results/live_handoff_calibrated.csv,1000,live-handoff,a_event_pending_after_b_complete,10,0,1.0,1.0,1.0
results/live_handoff_calibrated.csv,1000,live-handoff,a_event_ms,10,0,998.2177124023438,998.2243957519531,998.5628051757812
