target_ms,condition,trial,order,valid,a_launch_seq,b_launch_seq,profiled,device_id,a_context_id,b_context_id,profile_a_start_ns,profile_a_end_ns,profile_b_start_ns,profile_b_end_ns,a_unfinished_at_b_start,a_unfinished_at_b_end,b_finishes_before_a_by_us,profile_clock_alignment_valid,profile_invalidate_to_b_gpu_start_est_us,profile_invalidate_to_b_gpu_start_lower_us,profile_invalidate_to_b_gpu_start_upper_us,profile_api_alignment_width_ns,host_invalidate_to_b_launch_us,host_invalidate_to_b_complete_us
10,live-handoff,0,0,1,19,11,1,0,1,2,1281617659,1292250198,1284052457,1284055753,1,1,8194.445,1,1430.5535,1430.412,1430.695,283,3.4689999999999999,1441.3969999999999
10,serial-destroy,0,1,1,24,26,1,0,1,2,1320816530,1330770025,1450464601,1450467289,0,0,-119697.264,1,128645.7275,128645.633,128645.822,189,128492.075,128656.09
10,idle,0,2,1,0,41,1,0,-1,2,0,0,1642807064,1642809112,-1,-1,nan,1,12.728,12.599,12.857,258,3.476,21.510000000000002
10,serial-destroy,1,0,1,40,56,1,0,3,2,1683580312,1693526990,1793033072,1793035792,0,0,-99508.802,1,108452.647,108452.576,108452.718,142,108300.5,108462.658
10,idle,1,1,1,0,71,1,0,-1,2,0,0,1982159517,1982161565,-1,-1,nan,1,13.483,13.365,13.601,236,4.5389999999999997,22.369
10,live-handoff,1,2,1,49,86,1,0,4,2,2006609252,2016964220,2008975312,2008977584,1,1,7986.636,1,1379.539,1379.415,1379.663,248,4.1449999999999996,1388.924
100,live-handoff,0,0,1,69,104,1,0,4,5,2616299167,2704033602,2627016666,2627018490,1,1,77015.112,1,742.8535,742.718,742.989,271,3.6099999999999999,750.94100000000003
100,serial-destroy,0,1,1,74,119,1,0,4,5,2797252900,2879969484,2962778964,2962780820,0,0,-82811.336,1,157250.969,157250.885,157251.053,168,157146.18299999999,157259.36199999999
100,idle,0,2,1,0,134,1,0,-1,5,0,0,3205506765,3205508173,-1,-1,nan,1,14.3915,14.164,14.619,455,5.9320000000000004,23.286000000000001
100,serial-destroy,1,0,1,91,149,1,0,6,5,3422448568,3522119805,3610600485,3610602341,0,0,-88482.536,1,178181.3585,178181.226,178181.491,265,178079.31599999999,178189.788
100,idle,1,1,1,0,164,1,0,-1,5,0,0,3877762853,3877764229,-1,-1,nan,1,12.4465,12.276,12.617,341,5.8600000000000003,20.616
100,live-handoff,1,2,1,100,179,1,0,7,5,3987750978,4087825386,3998431901,3998433821,1,1,89391.565,1,708.28,708.164,708.396,232,6.2069999999999999,716.31700000000001
1000,live-handoff,0,0,1,121,197,1,0,7,8,7361427842,8358352054,7462327485,7462329373,1,1,896022.681,1,1243.343,1243.202,1243.484,282,4.1349999999999998,1250.8900000000001
1000,serial-destroy,0,1,1,126,212,1,0,7,8,9365513307,10362040758,10439405590,10439407574,0,0,-77366.816,1,974249.474,974249.334,974249.614,280,974144.299,974257.92200000002
1000,idle,0,2,1,0,227,1,0,-1,8,0,0,11588924137,11588925513,-1,-1,nan,1,14.272,14.145,14.399,254,5.7679999999999998,21.934000000000001
1000,serial-destroy,1,0,1,143,242,1,0,9,8,13599987550,14596730786,14675198679,14675200567,0,0,-78469.781,1,975545.751,975544.885,975546.617,1732,975444.80799999996,975554.495
1000,idle,1,1,1,0,257,1,0,-1,8,0,0,15835383794,15835385170,-1,-1,nan,1,11.8275,11.679,11.976,297,5.181,19.446999999999999
1000,live-handoff,1,2,1,152,272,1,0,10,8,16842496811,17839643742,16943400878,16943402766,1,1,896240.976,1,1226.1285,1226.003,1226.254,251,4.4320000000000004,1233.6220000000001
