key,value
"schema_version","2"
"run_status","initializing"
"toolkit_version","12.8.61"
"cuda_header_version","12080"
"cubin_sm","80"
"module_path","/home/quyifei/multimodal/workspace/multi-context/build/kernels.cubin"
"host_timer","CLOCK_MONOTONIC_RAW"
"host_timer_resolution_ns","1"
"run_start_host_ns","4241892312604495"
"process_pid","3675572"
"thread_control_tid","3675572"
"run_start_utc","2026-09-22T07:48:09Z"
"host_os","Linux 5.15.0-186-generic x86_64"
"nvidia_kernel_driver","NVRM version: NVIDIA UNIX x86_64 Kernel Module  595.58.03  Tue Mar 17 19:54:55 UTC 2026
GCC version:  gcc version 11.4.0 (Ubuntu 11.4.0-1ubuntu1~22.04.3) 
"
"argv_0","./build/context_ping_pong"
"argv_1","--mode"
"argv_2","all"
"argv_3","--action"
"argv_4","both"
"argv_5","--long-ms"
"argv_6","10"
"argv_7","--trials"
"argv_8","1"
"argv_9","--cpu-a"
"argv_10","0"
"argv_11","--cpu-b"
"argv_12","1"
"argv_13","--cpu-control"
"argv_14","2"
"argv_15","--output"
"argv_16","results/live_handoff_legacy_regression.csv"
"CUDA_VISIBLE_DEVICES","<unset>"
"CUDA_LAUNCH_BLOCKING","<unset>"
"CUDA_MODULE_LOADING","<unset>"
"CUDA_MPS_PIPE_DIRECTORY","<unset>"
"CUDA_MPS_ACTIVE_THREAD_PERCENTAGE","<unset>"
"mps_active","not_determined_by_this_program; verify independently"
"nvidia_smi_exit_status","0"
"cuda_driver_api_version","13020"
"cuda_driver_api_version_display","13.2"
"visible_device_count","8"
"gpu_name","NVIDIA A100-PCIE-40GB"
"gpu_uuid","99e4e85f-1945-866c-9e00-130b51df7908"
"gpu_pci_bus_id","0000:18:00.0"
"gpu_total_memory_bytes","42405855232"
"selected_visible_ordinal","0"
"gpu_compute_capability","8.0"
"gpu_sm_count","108"
"gpu_compute_mode","0"
"gpu_compute_preemption_supported","1"
"gpu_kernel_exec_timeout","0"
"context_flags","CU_CTX_SCHED_SPIN | CU_CTX_MAP_HOST"
"stream_flags","CU_STREAM_NON_BLOCKING"
"a_blocks","432"
"a_threads","256"
"fma_per_thread_per_iteration","256"
"cpu_a_requested","0"
"cpu_b_requested","1"
"cpu_control_requested","2"
"thread_a_tid","3675605"
"thread_b_tid","3675606"
"thread_a_launch_count","23"
"thread_b_launch_count","7"
"run_status","completed"
