run,condition,trial,target_ms,hold_ms,reference_a_ms,a_event_ms,invalidate_to_preempt_return_us,invalidate_to_disable_return_us,invalidate_to_b_launch_us,invalidate_to_b_complete_us,a_pending_before_rearm,a_context_same,a_buffer_same,a_output_matches_reference,a_reuse_ok
three_conditions,live-handoff,0,1000,1200,1000.0189208984375,1000.40087890625,nan,nan,2.9390000000000001,905.46199999999999,0,1,1,1,1
three_conditions,preempt-resume,0,1000,1200,1000.1018676757812,1000.8002319335938,607.98599999999999,nan,611.00900000000001,2922.0590000000002,0,1,1,1,1
three_conditions,preempt-hold,0,1000,1200,1000.00048828125,2201.189453125,509.57999999999998,1100.2919999999999,1102.886,1208.8130000000001,1,1,1,1,1
three_conditions,preempt-resume,1,1000,1200,998.1737060546875,998.92938232421875,614.62599999999998,nan,617.56600000000003,2934.6219999999998,0,1,1,1,1
three_conditions,preempt-hold,1,1000,1200,998.1737060546875,2199.342041015625,639.96400000000006,1241.636,1244.55,1350.617,1,1,1,1,1
three_conditions,live-handoff,1,1000,1200,998.1737060546875,998.57611083984375,nan,nan,3.0409999999999999,1091.992,0,1,1,1,1
three_conditions,preempt-hold,2,1000,1200,997.8367919921875,2198.88330078125,654.29399999999998,1248.192,1251.367,1357.345,1,1,1,1,1
three_conditions,live-handoff,2,1000,1200,997.83062744140625,998.22283935546875,nan,nan,2.8599999999999999,1121.232,0,1,1,1,1
three_conditions,preempt-resume,2,1000,1200,997.82965087890625,998.58941650390625,667.27599999999995,nan,669.96799999999996,2986.453,0,1,1,1,1
three_conditions,live-handoff,3,1000,1200,997.83477783203125,998.22491455078125,nan,nan,2.855,1121.8789999999999,0,1,1,1,1
three_conditions,preempt-resume,3,1000,1200,997.83062744140625,998.58740234375,628.15599999999995,nan,631.55799999999999,2950.2559999999999,0,1,1,1,1
three_conditions,preempt-hold,3,1000,1200,997.82965087890625,2198.981689453125,593.66399999999999,1183.577,1186.6320000000001,1292.3989999999999,1,1,1,1,1
three_conditions,preempt-resume,4,1000,1200,998.17474365234375,998.9488525390625,623.03300000000002,nan,634.43700000000001,2934.6950000000002,0,1,1,1,1
three_conditions,preempt-hold,4,1000,1200,998.17266845703125,2199.175048828125,597.86099999999999,1127.9639999999999,1131.212,1236.7660000000001,1,1,1,1,1
three_conditions,live-handoff,4,1000,1200,998.1737060546875,998.5689697265625,nan,nan,3.04,1088.0060000000001,0,1,1,1,1
fifo_only,fifo-hold,0,1000,1200,999.9820556640625,2200.85546875,nan,816.745,821.01900000000001,926.01300000000003,1,1,1,1,1
fifo_only,fifo-hold,1,1000,1200,997.8388671875,2198.52197265625,nan,696.79600000000005,699.99699999999996,805.36599999999999,1,1,1,1,1
fifo_only,fifo-hold,2,1000,1200,998.371337890625,2199.065673828125,nan,675.86599999999999,678.89999999999998,784.48900000000003,1,1,1,1,1
fifo_only,fifo-hold,3,1000,1200,997.84295654296875,2198.602783203125,nan,834.59199999999998,855.50400000000002,960.71299999999997,1,1,1,1,1
fifo_only,fifo-hold,4,1000,1200,997.833740234375,2198.7900390625,nan,731.54600000000005,734.64300000000003,840.74699999999996,1,1,1,1,1
