run,trial,order,rewind,classification,iterations,reference_a_ms,hold_ms,query_timeout_ms,old_value_ok,new_value_ok,a_event_result,old_event_result,new_event_result,hold_observations,hold_all_pending,context_same,buffer_same,a_event_ms,disable_attempted,disable_api_result,disable_rm_status,enable_attempted,enable_api_result,enable_rm_status,cuda_async_error_codes,invalidate_to_disable_return_us,disable_call_us,disable_ioctl_us,observed_hold_ms,enable_to_old_token_observed_us,old_token_seen_before_new_launch,observation_after_enable_ms
smoke_false,0,0,0,old_queue_preserved,343674,1000.3230590820312,1200,3000,1,1,0,0,0,12,1,1,1,2202.956787109375,1,0,0,1,0,0,,836.495,819.947,483.43,1201.264516,907656.225,1,907.977609
smoke_true,0,0,1,old_queue_preserved,343563,1000.0015258789062,1200,3000,1,1,0,0,0,12,1,1,1,2202.482666015625,1,0,0,1,0,0,,905.308,890.506,547.325,1201.113165,907681.525,1,907.964067
matched,0,0,0,old_queue_preserved,343639,1000.2288818359375,1200,3000,1,1,0,0,0,12,1,1,1,2205.240234375,1,0,0,1,0,0,,934.444,915.341,488.494,1203.712567,908429.282,1,908.7220110000001
matched,0,1,1,old_queue_preserved,343639,1000.2493286132812,1200,3000,1,1,0,0,0,12,1,1,1,2202.596435546875,1,0,0,1,0,0,,917.855,901.838,563.884,1201.087661,907936.264,1,908.180964
matched,1,0,1,old_queue_preserved,342583,997.15069580078125,1200,3000,1,1,0,0,0,12,1,1,1,2199.626708984375,1,0,0,1,0,0,,809.007,798.358,541.24,1201.1401389999999,897566.31,1,897.81363
matched,1,1,0,old_queue_preserved,342583,997.17633056640625,1200,3000,1,1,0,0,0,12,1,1,1,2199.32373046875,1,0,0,1,0,0,,804.267,790.734,473.051,1201.051055,899109.012,1,899.423548
matched,2,0,0,old_queue_preserved,342466,997.191650390625,1200,3000,1,1,0,0,0,12,1,1,1,2199.26318359375,1,0,0,1,0,0,,888.461,873.121,516.366,1201.142256,897589.046,1,897.861274
matched,2,1,1,old_queue_preserved,342466,997.25616455078125,1200,3000,1,1,0,0,0,12,1,1,1,2199.550048828125,1,0,0,1,0,0,,1285.582,1132.775,638.99,1201.054054,897588.794,1,898.096087
matched,3,0,1,old_queue_preserved,342466,996.81072998046875,1200,3000,1,1,0,0,0,12,1,1,1,2199.1064453125,1,0,0,1,0,0,,935.462,922.0,575.159,1201.0340290000001,897598.365,1,897.831654
matched,3,1,0,old_queue_preserved,342466,996.833251953125,1200,3000,1,1,0,0,0,12,1,1,1,2199.057373046875,1,0,0,1,0,0,,813.964,799.297,481.338,1201.068095,898051.468,1,898.385956
matched,4,0,0,old_queue_preserved,342466,996.82305908203125,1200,3000,1,1,0,0,0,12,1,1,1,2200.17041015625,1,0,0,1,0,0,,1010.492,978.407,581.266,1201.971843,897616.698,1,898.564522
matched,4,1,1,old_queue_preserved,342466,996.84246826171875,1200,3000,1,1,0,0,0,12,1,1,1,2199.319580078125,1,0,0,1,0,0,,1015.746,987.203,628.456,1201.375601,905974.664,1,906.130242
