round,phase,channel_ordinal,read_begin_rel_ns,read_end_rel_ns,get_first,put_first,get_second,put_second,repeated_values_equal,gpfifo_entries,api_begin_rel_ns,api_end_rel_ns,api_result
0,idle_before,0,-1855725,-1849905,122,122,122,122,True,1024,,,-1
0,idle_before,1,-1847711,-1842285,4,4,4,4,True,1024,,,-1
0,idle_before,2,-1840554,-1835214,1,1,1,1,True,1024,,,-1
0,idle_before,3,-1833886,-1828209,1,1,1,1,True,1024,,,-1
0,idle_before,4,-1826039,-1820342,1,1,1,1,True,1024,,,-1
0,idle_before,5,-1819326,-1813849,1,1,1,1,True,1024,,,-1
0,idle_before,6,-1812831,-1807374,1,1,1,1,True,1024,,,-1
0,idle_before,7,-1806365,-1800777,1,1,1,1,True,1024,,,-1
1,idle_before,0,-1581557,-1576377,122,122,122,122,True,1024,,,-1
1,idle_before,1,-1574905,-1569731,4,4,4,4,True,1024,,,-1
1,idle_before,2,-1568637,-1563634,1,1,1,1,True,1024,,,-1
1,idle_before,3,-1562631,-1557182,1,1,1,1,True,1024,,,-1
1,idle_before,4,-1555725,-1550280,1,1,1,1,True,1024,,,-1
1,idle_before,5,-1549289,-1544222,1,1,1,1,True,1024,,,-1
1,idle_before,6,-1543234,-1538006,1,1,1,1,True,1024,,,-1
1,idle_before,7,-1537017,-1531639,1,1,1,1,True,1024,,,-1
2,idle_before,0,-1359762,-1354550,122,122,122,122,True,1024,,,-1
2,idle_before,1,-1353326,-1347894,4,4,4,4,True,1024,,,-1
2,idle_before,2,-1347135,-1342313,1,1,1,1,True,1024,,,-1
2,idle_before,3,-1341830,-1336577,1,1,1,1,True,1024,,,-1
2,idle_before,4,-1335963,-1330743,1,1,1,1,True,1024,,,-1
2,idle_before,5,-1330293,-1325447,1,1,1,1,True,1024,,,-1
2,idle_before,6,-1325000,-1320013,1,1,1,1,True,1024,,,-1
2,idle_before,7,-1319565,-1314408,1,1,1,1,True,1024,,,-1
3,idle_before,0,-1156440,-1151497,122,122,122,122,True,1024,,,-1
3,idle_before,1,-1151141,-1146192,4,4,4,4,True,1024,,,-1
3,idle_before,2,-1145875,-1141100,1,1,1,1,True,1024,,,-1
3,idle_before,3,-1140766,-1135577,1,1,1,1,True,1024,,,-1
3,idle_before,4,-1135166,-1129975,1,1,1,1,True,1024,,,-1
3,idle_before,5,-1129666,-1124847,1,1,1,1,True,1024,,,-1
3,idle_before,6,-1124537,-1119570,1,1,1,1,True,1024,,,-1
3,idle_before,7,-1119260,-1114123,1,1,1,1,True,1024,,,-1
4,idle_before,0,-955443,-948813,122,122,122,122,True,1024,,,-1
4,idle_before,1,-948456,-940440,4,4,4,4,True,1024,,,-1
4,idle_before,2,-940121,-935361,1,1,1,1,True,1024,,,-1
4,idle_before,3,-935048,-929860,1,1,1,1,True,1024,,,-1
4,idle_before,4,-929448,-924235,1,1,1,1,True,1024,,,-1
4,idle_before,5,-923924,-919097,1,1,1,1,True,1024,,,-1
4,idle_before,6,-918789,-913830,1,1,1,1,True,1024,,,-1
4,idle_before,7,-913520,-908406,1,1,1,1,True,1024,,,-1
5,idle_before,0,-751844,-746888,122,122,122,122,True,1024,,,-1
5,idle_before,1,-746519,-741570,4,4,4,4,True,1024,,,-1
5,idle_before,2,-741254,-736443,1,1,1,1,True,1024,,,-1
5,idle_before,3,-736133,-730960,1,1,1,1,True,1024,,,-1
5,idle_before,4,-730550,-725365,1,1,1,1,True,1024,,,-1
5,idle_before,5,-725053,-720215,1,1,1,1,True,1024,,,-1
5,idle_before,6,-719903,-714943,1,1,1,1,True,1024,,,-1
5,idle_before,7,-714632,-709506,1,1,1,1,True,1024,,,-1
6,idle_before,0,-553506,-548558,122,122,122,122,True,1024,,,-1
6,idle_before,1,-548204,-543283,4,4,4,4,True,1024,,,-1
6,idle_before,2,-542963,-538233,1,1,1,1,True,1024,,,-1
6,idle_before,3,-537919,-532710,1,1,1,1,True,1024,,,-1
6,idle_before,4,-532293,-527095,1,1,1,1,True,1024,,,-1
6,idle_before,5,-526784,-521968,1,1,1,1,True,1024,,,-1
6,idle_before,6,-521657,-516683,1,1,1,1,True,1024,,,-1
6,idle_before,7,-516372,-511257,1,1,1,1,True,1024,,,-1
7,idle_before,0,-355217,-350268,122,122,122,122,True,1024,,,-1
7,idle_before,1,-349911,-344983,4,4,4,4,True,1024,,,-1
7,idle_before,2,-344659,-339890,1,1,1,1,True,1024,,,-1
7,idle_before,3,-339576,-334390,1,1,1,1,True,1024,,,-1
7,idle_before,4,-333971,-328773,1,1,1,1,True,1024,,,-1
